Model,Accuracy,Precision,Recall
Logistic Regression,0.8248992386923422,0.8209817131857555,0.8062381852551985
Decision Tree,0.8163905060456784,0.8133462282398453,0.7948960302457467
Random Forest,0.8616211374832065,0.8259355961705831,0.8969754253308129
XGBoost,0.8629646215853113,0.8321554770318021,0.8903591682419659
